order_number,product_code,order_line_number,quantity_ordered,price_each,sales,deal_size,order_product_key
10107,S10_1678,2,30,95.7,2871.0,Small,10107_S10_1678
10121,S10_1678,5,34,81.35,2765.9,Small,10121_S10_1678
10134,S10_1678,2,41,94.74,3884.34,Medium,10134_S10_1678
10145,S10_1678,6,45,83.26,3746.7,Medium,10145_S10_1678
10159,S10_1678,14,49,100.0,5205.27,Medium,10159_S10_1678
10168,S10_1678,1,36,96.66,3479.76,Medium,10168_S10_1678
10180,S10_1678,9,29,86.13,2497.77,Small,10180_S10_1678
10188,S10_1678,1,48,100.0,5512.32,Medium,10188_S10_1678
10201,S10_1678,2,22,98.57,2168.54,Small,10201_S10_1678
10211,S10_1678,14,41,100.0,4708.44,Medium,10211_S10_1678
10223,S10_1678,1,37,100.0,3965.66,Medium,10223_S10_1678
10237,S10_1678,7,23,100.0,2333.12,Small,10237_S10_1678
10251,S10_1678,2,28,100.0,3188.64,Medium,10251_S10_1678
10263,S10_1678,2,34,100.0,3676.76,Medium,10263_S10_1678
10275,S10_1678,1,45,92.83,4177.35,Medium,10275_S10_1678
10285,S10_1678,6,36,100.0,4099.68,Medium,10285_S10_1678
10299,S10_1678,9,23,100.0,2597.39,Small,10299_S10_1678
10309,S10_1678,5,41,100.0,4394.38,Medium,10309_S10_1678
10318,S10_1678,1,46,94.74,4358.04,Medium,10318_S10_1678
10329,S10_1678,1,42,100.0,4396.14,Medium,10329_S10_1678
10341,S10_1678,9,41,100.0,7737.93,Large,10341_S10_1678
10361,S10_1678,13,20,72.55,1451.0,Small,10361_S10_1678
10375,S10_1678,12,21,34.91,733.11,Small,10375_S10_1678
10388,S10_1678,4,42,76.36,3207.12,Medium,10388_S10_1678
10403,S10_1678,7,24,100.0,2434.56,Small,10403_S10_1678
10417,S10_1678,2,66,100.0,7516.08,Large,10417_S10_1678
10103,S10_1949,11,26,100.0,5404.62,Medium,10103_S10_1949
10112,S10_1949,1,29,100.0,7209.11,Large,10112_S10_1949
10126,S10_1949,11,38,100.0,7329.06,Large,10126_S10_1949
10140,S10_1949,11,37,100.0,7374.1,Large,10140_S10_1949
10150,S10_1949,8,45,100.0,10993.5,Large,10150_S10_1949
10163,S10_1949,1,21,100.0,4860.24,Medium,10163_S10_1949
10174,S10_1949,4,34,100.0,8014.82,Large,10174_S10_1949
10183,S10_1949,8,23,100.0,5372.57,Medium,10183_S10_1949
10194,S10_1949,11,42,100.0,7290.36,Large,10194_S10_1949
10206,S10_1949,6,47,100.0,9064.89,Large,10206_S10_1949
10215,S10_1949,3,35,100.0,6075.3,Medium,10215_S10_1949
10228,S10_1949,2,29,100.0,6463.23,Medium,10228_S10_1949
10245,S10_1949,9,34,100.0,6120.34,Medium,10245_S10_1949
10258,S10_1949,6,32,100.0,7680.64,Large,10258_S10_1949
10270,S10_1949,9,21,100.0,4905.39,Medium,10270_S10_1949
10280,S10_1949,2,34,100.0,8014.82,Large,10280_S10_1949
10291,S10_1949,11,37,100.0,7136.19,Large,10291_S10_1949
10304,S10_1949,6,47,100.0,10172.7,Large,10304_S10_1949
10312,S10_1949,3,48,100.0,11623.7,Large,10312_S10_1949
10322,S10_1949,1,40,100.0,6000.4,Medium,10322_S10_1949
10333,S10_1949,3,26,100.0,3003.0,Medium,10333_S10_1949
10347,S10_1949,1,30,100.0,3944.7,Medium,10347_S10_1949
10357,S10_1949,10,32,100.0,5691.84,Medium,10357_S10_1949
10369,S10_1949,2,41,100.0,4514.92,Medium,10369_S10_1949
10381,S10_1949,3,36,100.0,8254.8,Large,10381_S10_1949
10391,S10_1949,4,24,100.0,2416.56,Small,10391_S10_1949
10411,S10_1949,9,23,100.0,4140.23,Medium,10411_S10_1949
